4.223383112833845043e-01,1.149644626751417764e+00
4.276693554288877319e-01,1.169324499132431194e+00
4.148759667292434283e-01,1.194689898206804823e+00
4.088184870726369047e-01,1.215563721282743037e+00
4.151442228033512816e-01,1.228871711768707797e+00
3.989981121255831154e-01,1.085094653621671901e+00
4.198970353395697908e-01,1.086353696421668680e+00
4.172063839963891518e-01,1.104503448256002329e+00
4.231437891603255230e-01,1.116323733114754413e+00
4.280960559885100269e-01,1.136871797228557357e+00
4.029723774702855255e-01,1.077411801401385816e+00
4.209327544286044498e-01,1.081212576821953375e+00
4.190840229291288854e-01,1.106040378866218754e+00
4.237924745443540919e-01,1.122079105872701543e+00
4.301749169826507568e-01,1.136601209640502930e+00
